hangul,consonant,unicode,hanja
가,ㄱ,04f3d,伽
가,ㄱ,04f73,佳
가,ㄱ,05047,假
가,ㄱ,050f9,價
가,ㄱ,052a0,加
가,ㄱ,053ef,可
가,ㄱ,05475,呵
가,ㄱ,054e5,哥
가,ㄱ,054ff,哿
가,ㄱ,05609,嘉
"가,하",,0560f,嘏
가,ㄱ,05777,坷
가,ㄱ,05a7d,婽
가,ㄱ,05ac1,嫁
가,ㄱ,05bb6,家
가,ㄱ,05ca2,岢
가,ㄱ,05fa6,徦
가,ㄱ,0659d,斝
가,ㄱ,06687,暇
가,ㄱ,067b6,架
가,ㄱ,067b7,枷
가,ㄱ,067ef,柯
가,ㄱ,06935,椵
가,ㄱ,0698e,榎
가,ㄱ,06a9f,檟
가,ㄱ,06b4c,歌
가,ㄱ,06cc7,泇
가,ㄱ,06e2e,渮
가,ㄱ,07241,牁
가,ㄱ,073c2,珂
가,ㄱ,073c8,珈
가,ㄱ,075c2,痂
가,ㄱ,07a3c,稼
가,ㄱ,07b33,笳
가,ㄱ,0801e,耞
가,ㄱ,08238,舸
가,ㄱ,082db,苛
가,ㄱ,08304,茄
"가,하",,083cf,菏
가,ㄱ,0846d,葭
가,ㄱ,08857,街
가,ㄱ,08888,袈
가,ㄱ,08a36,訶
가,ㄱ,08b0c,謌
"가,고",,08cc8,賈
가,ㄱ,08dcf,跏
가,ㄱ,08efb,軻
가,ㄱ,08fe6,迦
가,ㄱ,099d5,駕
가,ㄱ,a0111,򠄑
가,ㄱ,a0112,򠄒
각,ㄱ,05095,傕
각,ㄱ,0523b,刻
각,ㄱ,05374,却
각,ㄱ,0537b,卻
각,ㄱ,05404,各
각,ㄱ,054af,咯
각,ㄱ,057c6,埆
각,ㄱ,0606a,恪
각,ㄱ,06128,愨
각,ㄱ,06164,慤
각,ㄱ,06409,搉
각,ㄱ,064f1,擱
각,ㄱ,06877,桷
각,ㄱ,06bbc,殼
각,ㄱ,073cf,珏
각,ㄱ,0811a,脚
각,ㄱ,089ba,覺
각,ㄱ,089d2,角
각,ㄱ,095a3,閣
"각,학",,096ba,隺
간,ㄱ,04f83,侃
간,ㄱ,05058,偘
간,ㄱ,0520a,刊
간,ㄱ,058be,墾
간,ㄱ,05978,奸
간,ㄱ,059e6,姦
간,ㄱ,05e72,干
간,ㄱ,05e79,幹
"간,한",,05fd3,忓
간,ㄱ,06173,慳
간,ㄱ,061c7,懇
간,ㄱ,063c0,揀
간,ㄱ,06746,杆
간,ㄱ,067ec,柬
간,ㄱ,0681e,栞
간,ㄱ,0687f,桿
간,ㄱ,069a6,榦
간,ㄱ,06d86,涆
간,ㄱ,06f97,澗
간,ㄱ,07395,玕
간,ㄱ,07647,癇
간,ㄱ,0764e,癎
간,ㄱ,0770b,看
"간,안",,077f8,矸
간,ㄱ,078f5,磵
간,ㄱ,079c6,秆
간,ㄱ,07a08,稈
간,ㄱ,07aff,竿
간,ㄱ,07c21,簡
간,ㄱ,0809d,肝
간,ㄱ,0826e,艮
간,ㄱ,08271,艱
간,ㄱ,0831b,茛
간,ㄱ,0884e,衎
간,ㄱ,08aeb,諫
간,ㄱ,08d76,赶
간,ㄱ,08fc0,迀
간,ㄱ,09593,間
간,ㄱ,09f66,齦
갈,ㄱ,04e6b,乫
갈,ㄱ,0559d,喝
