hangul,consonant,unicode,hanja,meaning,id
가,ㄱ,53ef,可,옳을 가,d8ace440ebc04c8c9af8eb8c13e90baa
가,ㄱ,5bb6,家,집 가,80617961bdc7429fafbaf1287390b271
가,ㄱ,4f73,佳,아름다울 가,1d4f7c8d2b0e48908b2f39f8d4dde3b4
가,ㄱ,5047,假,거짓 가,b79aee5c488747dbb23338b4c10e65f9
가,ㄱ,560f,嘏,클 가,cf2ea6bb989546b891a29500b7306fc3
가,ㄱ,6b4c,歌,노래 가,94949f3b42c9451ab3fea59e14b25853
가,ㄱ,52a0,加,더할 가,6efdc782994545fc8e5f513244e1d482
가,ㄱ,67b6,架,시렁 가,7644b85b553d4eba87ace98b90c52bf9
가,ㄱ,6687,暇,틈 가/겨를 가,8d6e82c0828d40da93f7481fa41d105d
가,ㄱ,50f9,價,값 가,208d38b8834a436e849c4e8dd000acf5
가,ㄱ,5609,嘉,아름다울 가,34395010815048cab4ef591dd5f6ab25
가,ㄱ,82db,苛,가혹할 가,d9fedbcfff564218b1ff60f02f9a747d
가,ㄱ,8857,街,거리 가,de934417d77d48a29e4cc0db2dde782f
가,ㄱ,99d5,駕,멍에 가,4dfe07ab5e784f87818cdb32657ebc1b
가,ㄱ,54e5,哥,노래 가,3560e2d8de55498a82088d7a091b0bc5
가,ㄱ,7a3c,稼,심을 가,8cd09a919cc1441797c5951245a65b3e
가,ㄱ,8cc8,賈,값 가,fc5e2dd2a4da4a6a8e09cc0f53feef45
가,ㄱ,5475,呵,꾸짖을 가,3df41863159547b699b77484292cccfd
가,ㄱ,8a36,訶,꾸짖을 가,56fe500d474a4df3a933b0309569b137
가,ㄱ,67ef,柯,가지 가,1281d8e62a284341a40597faf8cba5f7
가,ㄱ,5ac1,嫁,시집갈 가,5c076216be214f7da55675975aeed5bc
가,ㄱ,4f3d,伽,절 가,668da00cdf2f45068df8b545dea7f672
가,ㄱ,8fe6,迦,부처 이름 가,53ec17decc8d4b10a85d57f3697c6fde
가,ㄱ,659d,斝,술잔 가,2a4dea46e5e846d6b234c9b71351d4fc
가,ㄱ,8888,袈,가사 가,03a0dedbda8e4c7fbae5b6a2772d3b49
가,ㄱ,8304,茄,가지 가,4cf90bdfcbe941c6a435e0ca72af274a
가,ㄱ,54ff,哿,옳을 가,570ab4e1196a4254a039f2b31c29cd01
가,ㄱ,8efb,軻,수레 가/사람 이름 가,51fa7e18e13a402baa6f18840469fb77
가,ㄱ,67b7,枷,도리깨 가,0b2a02a3831345f58019dec99c526513
가,ㄱ,6a9f,檟,개오동나무 가,be7247014a844de8af0f0d493250726e
가,ㄱ,698e,榎,개오동나무 가,aad2d5622e86447386c833d1074159af
가,ㄱ,846d,葭,갈대 가,9cef189146134495a450e06ba90f59e6
가,ㄱ,73c8,珈,머리꾸미개 가,8bfe90b1828248e2b3319ff08fdc5226
가,ㄱ,5777,坷,평탄하지 않을 가,a61e42d8d76d42b69009e5243b3c409d
가,ㄱ,8dcf,跏,책상다리할 가,5e35b9b8111143d5bbfaab13efc481a7
가,ㄱ,73c2,珂,마노 가,d967eef886eb4292b1c493c932a768cc
가,ㄱ,8b0c,謌,노래 가,cbefc88854334185a99b5566cfb1767e
가,ㄱ,75c2,痂,딱지 가,36c2e5d01da94105831de81f2b07fd19
가,ㄱ,7b33,笳,호드기 가,14d2c8b8b5924cc9aa4bcef050815ad4
가,ㄱ,6cc7,泇,물 이름 가,e113cc40e8744a6391a98bcc6bc323a1
가,ㄱ,801e,耞,도리깨 가,d683cc54e1a14deda37beafe29842455
가,ㄱ,6935,椵,나무 이름 가,ea4970a1d9e1411eb6fe49a2685a5919
